14,乌合之众:大众心理研究,总体,https://www.amazon.cn/dp/B0035RP348/ref=zg_bs_books_14/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,古斯塔夫•勒庞 (Gustave …,4.2,1402,https://www.amazon.cn/product-reviews/B0035RP348/ref=zg_bs_books_cr_14/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,7.44
15,高难度沟通:麻省理工高人气沟通课,总体,https://www.amazon.cn/dp/B07896QS5D/ref=zg_bs_books_15/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,贾森·杰伊,4.2,143,https://www.amazon.cn/product-reviews/B07896QS5D/ref=zg_bs_books_cr_15/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,28.98
16,局外人(诺贝尔文学奖60周年纪念版),总体,https://www.amazon.cn/dp/B074BNFY1H/ref=zg_bs_books_16/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,加缪,4.3,107,https://www.amazon.cn/product-reviews/B074BNFY1H/ref=zg_bs_books_cr_16/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,25.07
17,深度思考:不断逼近问题的本质,总体,https://www.amazon.cn/dp/B07GVXHCXH/ref=zg_bs_books_17/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,莫琳·希凯,3.8,50,https://www.amazon.cn/product-reviews/B07GVXHCXH/ref=zg_bs_books_cr_17/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,30.24
18,自控力(斯坦福大学广受欢迎心理学课程),总体,https://www.amazon.cn/dp/B076285WTM/ref=zg_bs_books_18/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,凯利·麦格尼格尔,4.4,6802,https://www.amazon.cn/product-reviews/B076285WTM/ref=zg_bs_books_cr_18/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,31.60
19,三体(1-3)(套装共3册),总体,https://www.amazon.cn/dp/B00OB3SNMY/ref=zg_bs_books_19/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,刘慈欣,4.5,4824,https://www.amazon.cn/product-reviews/B00OB3SNMY/ref=zg_bs_books_cr_19/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,62.40
20,人类简史:从动物到上帝,总体,https://www.amazon.cn/dp/B06VXL4CZN/ref=zg_bs_books_20/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,尤瓦尔•赫拉利 (Yuval N …,4.6,559,https://www.amazon.cn/product-reviews/B06VXL4CZN/ref=zg_bs_books_cr_20/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,49.60
21,Action Comics: 80 Years of Superman Deluxe…,总体,https://www.amazon.cn/dp/1401278876/ref=zg_bs_books_21/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,Various,3.5,3,https://www.amazon.cn/product-reviews/1401278876/ref=zg_bs_books_cr_21/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,63.90
22,烟火人间(老舍经典作品精选集纪念珍藏版),总体,https://www.amazon.cn/dp/B076M6H62K/ref=zg_bs_books_22/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,老舍,4.5,46,https://www.amazon.cn/product-reviews/B076M6H62K/ref=zg_bs_books_cr_22/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,25.07
23,人类的故事(普利策奖译者精译特别版),总体,https://www.amazon.cn/dp/B077ZK3T9G/ref=zg_bs_books_23/460-2323606-4620969?_encoding=UTF8&psc=1&refRID=QFDHJ0EDBTBHGGKYQ32R,亨德里克·威廉·房龙,4.2,20,https://www.amazon.cn/product-reviews/B077ZK3T9G/ref=zg_bs_books_cr_23/460-2323606-4620969?ie=UTF8&refRID=QFDHJ0EDBTBHGGKYQ32R,42.84
